,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,RA_yes,BR_yes,TS_yes,HZ_yes,DZ_yes
133,71,51,61,44,52,4, 0,-,-,0.005,29.26,29.91,12.1,29,13.7,0,0,0,0,0
134,66,46,56,43,50,9, 0,-,-,0.00,29.46,30.11,1.9,5,6.0,0,0,0,0,0
135,79,53,66,43,54,0, 1,-,-,0.00,29.30,29.98,7.1,20,7.7,0,0,0,0,0
136,67,47,57,40,49,8, 0,-,-,0.00,29.41,30.04,11.7,32,13.0,0,0,0,0,0
137,62,42,52,35,45,13, 0,-,-,0.00,29.62,30.28,1.1,35,6.6,0,0,0,0,0
138,72,49,61,38,50,4, 0,-,-,0.00,29.52,30.20,7.7,18,8.2,0,0,0,0,0
139,80,55,68,48,57,0, 3,-,-,0.00,29.46,30.12,10.6,17,11.0,0,0,0,0,0
140,89,66,78,57,65,0,13,-,-,0.00,29.41,30.05,12.5,19,12.8,0,0,0,0,0
141,84,68,76,59,65,0,11,-,-,0.00,29.47,30.09,3.5,25,9.0,0,0,0,0,0
142,76,63,70,59,64,0, 5,-,-,0.00,29.44,30.10,5.6,8,6.1,0,0,0,0,0
143,90,68,79,59,66,0,14,-,-,0.00,29.23,29.89,9.8,22,11.5,0,0,0,1,0
144,72,58,65,45,55,0, 0,-,-,0.00,29.48,30.10,4.3,1,7.7,0,0,0,0,0
145,83,55,69,50,59,0, 4,-,-,0.00,29.49,30.15,5.9,12,6.4,0,0,0,0,0
146,91,71,81,62,69,0,16,-,-,0.00,29.34,29.98,10.0,19,10.5,0,0,0,0,0
147,83,67,75,66,69,0,10,-,-,0.01,29.29,29.93,7.3,23,9.4,1,0,1,0,0
148,68,55,62,51,56,3, 0,-,-,0.14,29.37,30.02,4.8,2,7.3,1,1,0,0,0
149,74,52,63,49,55,2, 0,-,-,0.005,29.31,29.97,4.5,25,5.8,1,1,0,0,0
150,73,53,63,46,54,2, 0,-,-,0.00,29.52,30.16,3.1,7,6.6,0,0,0,0,0
151,82,52,67,45,55,0, 2,-,-,0.00,29.57,30.23,8.4,17,8.8,0,0,0,0,0
152,84,61,73,48,59,0, 8,-,-,0.14,29.44,30.10,12.9,19,13.2,1,1,1,0,0
153,68,59,64,59,61,1, 0,-,-,0.17,29.35,30.00,7.9,21,8.9,1,1,0,0,0
154,80,59,70,59,63,0, 5,-,-,0.11,29.25,29.92,10.0,19,10.3,1,1,0,0,0
155,74,56,65,47,56,0, 0,-,-,0.005,29.34,29.97,4.8,25,7.1,0,0,0,0,0
156,83,56,70,56,62,0, 5,-,-,0.00,29.39,30.03,4.6,17,5.9,0,0,0,0,0
157,85,68,77,65,69,0,12,-,-,0.06,29.42,30.06,6.8,18,7.0,1,1,0,0,0
158,88,71,80,66,71,0,15,-,-,0.00,29.39,30.03,6.4,21,6.7,0,0,0,0,0
159,88,70,79,65,70,0,14,-,-,0.00,29.38,30.01,5.3,19,5.9,0,0,0,0,0
160,88,62,75,60,66,0,10,-,-,0.00,29.28,29.92,7.3,24,9.9,0,0,0,0,0
161,77,50,64,44,53,1, 0,-,-,0.00,29.27,29.93,12.1,28,13.3,0,0,0,0,0
162,53,47,50,37,44,15, 0,-,-,0.005,29.26,29.93,14.4,31,14.6,0,0,0,0,0
163,56,48,52,39,45,13, 0,-,-,0.00,29.34,30.00,14.6,36,15.5,0,0,0,0,0
164,57,45,51,35,43,14, 0,-,-,0.00,29.34,30.02,2.8,36,5.4,0,0,0,0,0
165,59,44,52,40,47,13, 0,-,-,0.00,29.38,30.04,3.6,21,4.7,0,0,0,0,0
166,63,55,59,47,52,6, 0,-,-,0.01,29.40,30.06,5.7,12,6.0,1,0,0,0,0
167,77,55,66,50,57,0, 1,-,-,0.04,29.26,29.94,6.6,16,6.9,1,0,0,0,0
168,68,56,62,55,58,3, 0,-,-,0.19,29.23,29.88,6.5,21,7.3,1,1,0,0,0
169,74,50,62,53,57,3, 0,-,-,0.11,29.13,29.83,8.6,14,9.1,1,0,0,1,0
170,79,60,70,57,62,0, 5,-,-,0.34,28.67,29.34,15.5,19,17.2,1,1,1,0,0
171,61,53,57,48,52,8, 0,-,-,0.005,28.82,29.45,17.7,24,18.0,1,0,0,0,1
172,74,47,61,43,52,4, 0,-,-,0.00,29.10,29.72,11.1,21,11.7,0,0,0,0,0
173,79,61,70,46,56,0, 5,-,-,0.00,29.15,29.78,16.7,20,16.8,0,0,0,0,0
174,66,47,57,47,51,8, 0,-,-,0.15,29.32,29.96,5.8,1,10.3,1,1,0,0,1
175,53,46,50,39,45,15, 0,-,-,0.03,29.26,29.93,4.0,31,7.9,1,0,0,0,0
176,53,45,49,35,43,16, 0,-,-,0.00,29.51,30.16,16.0,2,17.3,0,0,0,0,0
177,57,45,51,40,46,14, 0,-,-,0.005,29.52,30.20,14.5,6,14.7,1,0,0,0,0
178,66,53,60,49,52,5, 0,-,-,0.41,29.38,30.06,4.2,6,7.2,1,1,0,0,0
179,57,39,48,41,46,17, 0,-,-,0.08,29.62,30.25,7.9,31,9.1,1,1,0,1,0
180,56,34,45,30,39,20, 0,-,-,0.00,29.86,30.53,3.5,23,4.1,0,0,0,0,0
181,60,39,50,32,42,15, 0,-,-,0.00,29.70,30.41,9.1,22,9.3,0,0,0,0,0
182,66,42,54,37,46,11, 0,-,-,0.00,29.51,30.22,10.8,20,10.9,0,0,0,0,0
183,63,43,53,38,46,12, 0,-,-,0.00,29.36,30.03,12.2,25,15.0,0,0,0,0,0
184,73,48,61,51,57,4, 0,-,-,0.005,29.01,29.67,9.8,17,10.4,0,0,0,0,0
185,74,55,65,56,60,0, 0,-,-,0.74,28.85,29.52,11.9,19,13.0,1,1,1,0,0
186,56,44,50,42,46,15, 0,-,-,0.01,29.08,29.69,11.2,25,12.7,1,1,0,0,0
187,66,39,53,33,45,12, 0,-,-,0.00,29.38,30.02,5.1,23,5.6,0,0,0,0,0
188,74,50,62,38,50,3, 0,-,-,0.00,29.34,29.99,3.7,23,6.2,0,0,0,0,0
189,82,52,67,43,55,0, 2,-,-,0.00,29.23,29.88,6.9,22,8.8,0,0,0,0,0
190,71,50,61,53,56,4, 0,-,-,0.71,29.03,29.69,1.9,22,11.1,1,1,0,0,0
191,59,47,53,36,45,12, 0,-,-,0.00,29.14,29.81,14.3,5,15.0,0,0,0,0,0
192,58,42,50,35,44,15, 0,-,-,0.00,29.20,29.85,6.5,3,7.0,0,0,0,0,0
193,61,41,51,39,46,14, 0,-,-,0.00,29.15,29.84,6.0,8,6.6,0,0,0,0,0
194,60,47,54,44,48,11, 0,-,-,1.46,28.89,29.53,14.3,2,17.8,1,1,0,0,0
195,53,41,47,39,43,18, 0,-,-,0.00,29.32,29.96,4.9,6,7.6,0,0,0,0,0
196,73,45,59,45,52,6, 0,-,-,0.32,29.28,29.95,13.7,18,14.4,1,0,1,0,0
197,61,46,54,49,52,11, 0,-,-,0.02,29.25,29.89,2.5,21,8.9,1,1,0,0,0
198,57,43,50,37,45,15, 0,-,-,0.00,29.38,30.05,7.5,5,8.1,0,0,0,0,0
199,72,41,57,41,50,8, 0,-,-,0.00,29.16,29.86,8.3,25,8.8,0,0,0,0,0
200,73,50,62,41,52,3, 0,-,-,0.26,28.94,29.61,11.2,29,14.1,1,1,1,0,0
201,55,45,50,40,46,15, 0,-,-,0.00,28.98,29.63,1.6,35,7.9,0,0,0,0,0
202,59,42,51,34,44,14, 0,-,-,0.005,29.02,29.69,4.4,7,6.2,1,0,0,0,0
203,64,49,57,37,47,8, 0,-,-,0.005,29.00,29.66,6.9,30,7.7,0,0,0,0,0
204,65,45,55,36,46,10, 0,-,-,0.00,29.05,29.70,6.8,33,8.8,0,0,0,0,0
205,56,47,52,38,45,13, 0,-,-,0.00,29.29,29.93,10.5,5,11.2,0,0,0,0,0
206,59,48,54,40,46,11, 0,-,-,0.00,29.47,30.11,10.4,3,10.7,0,0,0,0,0
207,68,44,56,38,48,9, 0,-,-,0.00,29.51,30.17,6.9,7,7.4,0,0,0,0,0
208,78,51,65,48,57,0, 0,-,-,0.00,29.26,29.93,11.1,17,12.4,0,0,0,0,0
209,84,53,69,60,65,0, 4,-,-,0.00,29.17,29.80,7.3,24,12.0,1,0,1,1,0
210,53,45,49,36,43,16, 0,-,-,0.005,29.54,30.18,18.0,2,17.4,1,0,0,0,0
211,61,45,53,35,44,12, 0,-,-,0.00,29.66,30.33,7.8,7,8.5,0,0,0,0,0
212,68,45,57,38,48,8, 0,-,-,0.08,29.46,30.17,2.2,10,3.8,1,0,0,0,0
213,77,58,68,60,63,0, 3,-,-,0.30,29.09,29.79,9.4,20,10.7,1,1,1,0,0
214,79,60,70,56,62,0, 5,-,-,0.00,29.15,29.79,11.1,28,12.3,0,0,0,0,0
215,71,56,64,46,55,1, 0,-,-,0.00,29.29,29.94,5.6,8,5.9,0,0,0,0,0
216,85,61,73,53,61,0, 8,-,-,0.00,29.21,29.87,1.7,13,5.7,0,0,0,0,0
217,74,57,66,58,60,0, 1,-,-,0.92,29.02,29.67,5.2,3,6.7,1,1,0,1,0
218,78,59,69,61,64,0, 4,-,-,0.02,28.95,29.60,3.1,5,4.3,1,1,1,1,0
219,88,68,78,69,72,0,13,-,-,0.22,29.06,29.69,13.2,20,13.8,1,0,1,0,0
220,86,73,80,69,72,0,15,-,-,0.03,29.14,29.75,19.2,20,19.5,1,0,0,0,0
221,84,72,78,71,73,0,13,-,-,0.07,29.23,29.85,11.8,19,12.4,0,1,1,0,0
222,87,65,76,69,71,0,11,-,-,1.31,29.18,29.80,4.2,19,11.5,1,1,0,0,0
223,74,65,70,64,66,0, 5,-,-,0.21,29.17,29.80,6.5,23,8.8,1,0,0,0,1
224,80,60,70,56,63,0, 5,-,-,0.01,29.25,29.88,9.3,25,10.4,1,0,0,0,0
225,86,66,76,55,64,0,11,-,-,0.00,29.34,29.97,9.4,18,10.4,0,0,0,0,0
226,91,73,82,63,70,0,17,-,-,0.00,29.26,29.89,14.8,18,15.1,0,0,0,0,0
227,82,66,74,63,66,0, 9,-,-,0.19,29.28,29.91,9.6,23,10.8,1,0,1,0,0
228,84,61,73,52,62,0, 8,-,-,0.00,29.29,29.92,8.7,24,9.3,0,0,0,0,0
229,82,60,71,60,64,0, 6,-,-,0.29,29.23,29.83,8.4,24,9.7,1,1,1,0,0
230,74,60,67,49,57,0, 2,-,-,0.00,29.25,29.89,10.8,31,11.5,0,0,0,0,0
231,76,56,66,46,55,0, 1,-,-,0.00,29.32,29.96,10.2,30,10.8,0,0,0,0,0
232,75,58,67,49,56,0, 2,-,-,0.00,29.26,29.91,5.0,5,7.5,0,0,0,0,0
233,80,55,68,47,57,0, 3,-,-,0.00,29.27,29.92,1.5,14,5.4,0,0,0,0,0
234,83,60,72,52,59,0, 7,-,-,0.04,29.30,29.95,6.5,23,7.2,1,0,0,0,0
235,83,62,73,53,61,0, 8,-,-,0.01,29.29,29.93,5.6,29,6.9,1,0,0,0,0
236,81,61,71,53,60,0, 6,-,-,0.02,29.23,29.87,1.5,34,4.4,1,0,0,0,0
237,76,57,67,54,59,0, 2,-,-,0.00,29.38,30.03,3.8,3,6.4,0,0,0,0,0
238,82,57,70,52,60,0, 5,-,-,0.00,29.49,30.13,4.3,18,5.4,0,0,0,0,0
239,79,67,73,65,68,0, 8,-,-,0.11,29.34,29.98,7.5,21,8.5,1,1,0,0,0
240,87,71,79,67,71,0,14,-,-,0.00,29.21,29.84,6.8,25,7.8,0,1,0,0,0
241,85,69,77,67,70,0,12,-,-,0.005,29.11,29.74,8.3,21,9.1,1,0,0,0,0
242,84,66,75,55,63,0,10,-,-,0.005,29.05,29.68,13.3,26,14.5,1,0,0,0,0
243,77,61,69,58,61,0, 4,-,-,0.22,29.13,29.75,7.9,30,10.1,1,1,0,0,0
244,81,59,70,49,58,0, 5,-,-,0.00,29.34,29.96,5.5,35,9.1,0,0,0,0,0
245,84,57,71,50,60,0, 6,-,-,0.00,29.30,29.95,8.2,23,8.3,0,0,0,0,0
246,89,63,76,62,67,0,11,-,-,0.12,29.14,29.78,7.4,24,11.7,1,0,0,0,0
247,71,59,65,51,57,0, 0,-,-,0.005,29.39,30.01,13.3,3,13.5,0,0,0,0,0
248,75,58,67,50,58,0, 2,-,-,0.00,29.40,30.05,6.5,6,7.5,0,0,0,0,0
249,79,57,68,52,60,0, 3,-,-,0.00,29.36,30.01,4.7,10,5.7,0,0,0,0,0
250,88,63,76,58,65,0,11,-,-,0.00,29.28,29.92,8.3,19,8.9,0,0,0,0,0
251,87,74,81,68,71,0,16,-,-,0.11,29.21,29.86,10.8,21,11.4,0,0,0,0,0
252,86,46,,68,71,,,-,-,0.28,29.16,29.80,7.4,24,8.3,1,0,1,0,0
253,85,67,76,55,64,0,11,-,-,0.00,29.31,29.94,8.1,32,9.1,0,0,0,0,0
254,84,64,74,62,67,0, 9,-,-,0.43,29.33,29.97,8.1,23,8.6,1,0,1,0,0
255,89,64,77,65,69,0,12,-,-,0.03,29.30,29.95,3.7,19,7.5,1,0,1,0,0
256,83,66,75,64,67,0,10,-,-,0.65,29.25,29.87,8.4,26,11.0,1,1,1,0,0
257,79,61,70,53,61,0, 5,-,-,0.00,29.18,29.83,13.6,27,13.8,0,0,0,0,0
258,84,62,73,54,62,0, 8,-,-,0.00,29.28,29.90,1.9,29,7.1,0,0,0,0,0
259,91,67,79,63,69,0,14,-,-,0.00,29.36,29.98,7.8,22,8.3,0,0,0,0,0
260,91,73,82,67,71,0,17,-,-,0.00,29.44,30.07,5.2,21,7.4,0,0,0,0,0
